codigo,fecha_hora,velocidad_prom,velocidad_max,direccion_prom,direccion_max,calidad
82,2024-01-29 13:37:00,1.6,3.3,91.0,91.0,1
82,2024-01-29 13:38:00,2.9,4.6,96.0,109.0,1
82,2024-01-29 13:39:00,4.2,6.1,63.0,68.0,1
82,2024-01-29 13:40:00,2.9,4.0,96.0,85.0,1
82,2024-01-29 13:41:00,2.5,3.7,85.0,87.0,1
82,2024-01-29 13:42:00,3.3,4.3,86.0,93.0,1
82,2024-01-29 13:43:00,3.3,4.2,83.0,89.0,1
82,2024-01-29 13:44:00,3.2,5.4,83.0,109.0,1
82,2024-01-29 13:45:00,4.2,5.5,75.0,117.0,1
82,2024-01-29 13:46:00,3.1,5.3,48.0,49.0,1
82,2024-01-29 13:47:00,1.1,4.8,28.0,24.0,1
82,2024-01-29 13:48:00,5.1,6.5,76.0,82.0,1
82,2024-01-29 13:49:00,5.4,6.6,77.0,91.0,1
82,2024-01-29 13:50:00,4.7,6.1,74.0,75.0,1
82,2024-01-29 13:51:00,3.6,4.7,65.0,64.0,1
82,2024-01-29 13:52:00,4.6,5.8,85.0,84.0,1
82,2024-01-29 13:53:00,4.6,6.2,79.0,72.0,1
82,2024-01-29 13:54:00,2.4,4.0,91.0,94.0,1
82,2024-01-29 13:55:00,3.1,5.2,36.0,30.0,1
82,2024-01-29 13:56:00,2.1,4.5,48.0,26.0,1
82,2024-01-29 13:57:00,3.7,4.3,82.0,71.0,1
82,2024-01-29 13:58:00,3.3,4.6,70.0,70.0,1
82,2024-01-29 13:59:00,3.5,5.4,68.0,43.0,1
82,2024-01-29 14:00:00,3.8,6.3,74.0,70.0,1
82,2024-01-29 14:01:00,3.9,5.5,95.0,96.0,1
82,2024-01-29 14:02:00,1.7,3.5,70.0,90.0,1
82,2024-01-29 14:03:00,4.0,5.4,77.0,75.0,1
82,2024-01-29 14:04:00,3.6,5.1,87.0,90.0,1
82,2024-01-29 14:05:00,4.6,7.0,81.0,80.0,1
82,2024-01-29 14:06:00,4.2,5.4,76.0,93.0,1
82,2024-01-29 14:07:00,4.5,5.6,83.0,80.0,1
82,2024-01-29 14:08:00,4.5,7.2,89.0,99.0,1
82,2024-01-29 14:09:00,3.5,5.3,81.0,91.0,1
82,2024-01-29 14:10:00,2.6,4.6,83.0,89.0,1
82,2024-01-29 14:11:00,2.7,4.9,82.0,68.0,1
82,2024-01-29 14:12:00,3.6,5.0,56.0,45.0,1
82,2024-01-29 14:13:00,2.4,3.9,67.0,56.0,1
82,2024-01-29 14:14:00,2.9,4.3,63.0,87.0,1
82,2024-01-29 14:15:00,4.1,5.6,66.0,48.0,1
82,2024-01-29 14:16:00,3.7,5.5,94.0,84.0,1
82,2024-01-29 14:17:00,4.8,6.7,92.0,106.0,1
82,2024-01-29 14:18:00,3.4,5.5,88.0,94.0,1
82,2024-01-29 14:19:00,3.3,5.7,101.0,91.0,1
82,2024-01-29 14:20:00,3.0,5.1,77.0,77.0,1
82,2024-01-29 14:21:00,1.7,2.8,99.0,113.0,1
82,2024-01-29 14:22:00,2.8,4.9,83.0,77.0,1
82,2024-01-29 14:23:00,3.0,4.9,61.0,80.0,1
82,2024-01-29 14:24:00,1.2,2.3,46.0,59.0,1
82,2024-01-29 14:25:00,3.4,5.1,92.0,89.0,1
82,2024-01-29 14:26:00,4.1,5.5,104.0,102.0,1
82,2024-01-29 14:27:00,2.9,4.6,38.0,57.0,1
82,2024-01-29 14:28:00,1.0,2.8,50.0,28.0,1
