split,rmse_mean,r2_mean,rmse_h24,r2_h24,n_eval_mean,n_eval_h24
test,10.886860407493792,-0.2196501400614291,9.925012603973984,-0.0034299825166219655,280087.0416666667,288083
val,11.076073406313787,-0.028632019870843378,9.851517824248807,0.19594890863106929,130108.08333333333,135040
