baseline,split,rmse_mean,r2_mean,rmse_h24,r2_h24,n_eval_mean,n_eval_h24
seasonal_naive_24h,test,10.166957446700163,-0.05098811640809078,9.925012603973984,-0.0034299825166219655,280087.0416666667,288083
seasonal_naive_24h,val,10.230077163065477,0.13432991722817572,9.851517824248807,0.19594890863106929,130108.08333333333,135040
