baseline,split,rmse_mean,r2_mean,n_eval_mean,rmse_h24,r2_h24,n_eval_h24
climatology_hourly_station,test,8.717123616378139,0.22748117743227733,280087.0416666667,8.720815981288723,0.2252899593143807,288083
climatology_hourly_station,val,9.772772781421592,0.2102696950184151,130108.08333333333,9.760092654870393,0.2108033520301689,135040
persistence,test,10.886860407493792,-0.21965014006142905,280087.0416666667,9.925012603973984,-0.0034299825166219,288083
persistence,val,11.076073406313787,-0.02863201987084336,130108.08333333333,9.851517824248807,0.1959489086310692,135040
seasonal_naive_24h,test,10.166957446700163,-0.050988116408090735,280087.0416666667,9.925012603973984,-0.0034299825166219,288083
seasonal_naive_24h,val,10.230077163065477,0.13432991722817567,130108.08333333333,9.851517824248807,0.1959489086310692,135040
