split,horizon_h,climatology_hourly_station,persistence,seasonal_naive_24h
test,1,8.718096398452106,6.874236343533354,10.362081436905404
test,2,8.727971249722351,8.347279314123144,10.346601468204092
test,3,8.729216090800854,9.434685104090155,10.330965716687444
test,4,8.72917270549839,10.246995054676772,10.31852825207766
test,5,8.724229120068154,10.83862315367876,10.305902800601835
test,6,8.718070881750943,11.231531180667243,10.287986347804985
test,7,8.721321140528916,11.476188796538912,10.281622246497967
test,8,8.714378732322078,11.571637494406456,10.26186763394029
test,9,8.715946479999895,11.57580598892086,10.252398484655169
test,10,8.72281104506126,11.530298298338945,10.241861847373547
test,11,8.729025300399572,11.472264587766237,10.236523281922183
test,12,8.727514550397528,11.45616420962906,10.221584565737338
test,13,8.723351478941494,11.53290412756914,10.198814708224411
test,14,8.718670063529645,11.660270346763848,10.17240820971372
test,15,8.714686027549448,11.79309869612019,10.142842106657769
test,16,8.70729692329153,11.898342534211418,10.118644517383885
test,17,8.7024958620168,11.922180720690758,10.082120851885568
test,18,8.698944204793179,11.843380956299988,10.050484476532834
test,19,8.702623521476388,11.67990206964082,10.018032237618222
test,20,8.70737029017862,11.375680077627942,9.991018074131151
test,21,8.70940951032604,10.969865427761606,9.970080565931434
test,22,8.714979714470717,10.517708231781077,9.955509474503772
test,23,8.712569520210693,10.110594461040334,9.934086811839254
test,24,8.720815981288723,9.925012603973984,9.925012603973984
val,1,9.769557748705148,6.810971435333785,10.557529948045188
val,2,9.786799630025545,8.351347223608514,10.53574916664497
val,3,9.792477878781536,9.521426185647073,10.51808578374989
val,4,9.792127652213344,10.39357607408376,10.490452531348655
val,5,9.790577746681503,11.047555643067913,10.461293958495736
val,6,9.786888267679654,11.508106460820162,10.436032617272554
val,7,9.781174509426291,11.776020663802104,10.412016816897776
val,8,9.787361877162882,11.920893770798273,10.396851956102289
val,9,9.785734754497536,11.949413917077738,10.372993677422285
val,10,9.786984536870358,11.880442013552178,10.35357246678719
val,11,9.773856138032375,11.78910379728434,10.325542251888452
val,12,9.782016778081058,11.785579226019683,10.317682276155493
val,13,9.784900873832004,11.85464301421252,10.292027045561092
val,14,9.7639069036722,11.98007303867819,10.22453013619794
val,15,9.763301603982889,12.094962221016312,10.178570950103037
val,16,9.758557197272214,12.169437732467731,10.132108227634545
val,17,9.7613745991425,12.161819163839672,10.08398994286809
val,18,9.759167431801398,12.063567478189368,10.034173204114095
val,19,9.756166584277771,11.843729174354351,9.985585105224969
val,20,9.749771126781797,11.478328645697198,9.937076265898153
val,21,9.760138260547494,11.031667700437255,9.906469991578112
val,22,9.757623506977309,10.509934624826794,9.872931942052393
val,23,9.755988492803024,10.051644722467154,9.845067827279747
val,24,9.760092654870393,9.851517824248807,9.851517824248807
