codigo,fecha_hora,temperatura,calidad
419,2023-07-01 00:00:00,21.5,1
419,2023-07-01 00:01:00,21.5,1
419,2023-07-01 00:02:00,21.5,1
419,2023-07-01 00:03:00,21.5,1
419,2023-07-01 00:04:00,21.5,1
419,2023-07-01 00:05:00,21.5,1
419,2023-07-01 00:06:00,21.5,1
419,2023-07-01 00:07:00,21.5,1
419,2023-07-01 00:08:00,21.5,1
419,2023-07-01 00:09:00,21.41,1
419,2023-07-01 00:10:00,21.4,1
419,2023-07-01 00:11:00,21.4,1
419,2023-07-01 00:12:00,21.4,1
419,2023-07-01 00:13:00,21.4,1
419,2023-07-01 00:14:00,21.4,1
419,2023-07-01 00:15:00,21.4,1
419,2023-07-01 00:16:00,21.4,1
419,2023-07-01 00:17:00,21.4,1
419,2023-07-01 00:18:00,21.4,1
419,2023-07-01 00:19:00,21.4,1
419,2023-07-01 00:20:00,21.4,1
419,2023-07-01 00:21:00,21.4,1
419,2023-07-01 00:22:00,21.4,1
419,2023-07-01 00:23:00,21.4,156272
419,2023-07-01 00:24:00,21.4,1
419,2023-07-01 00:25:00,21.4,1
419,2023-07-01 00:26:00,21.4,1
419,2023-07-01 00:27:00,21.4,1
419,2023-07-01 00:28:00,21.4,1
419,2023-07-01 00:29:00,21.4,1
419,2023-07-01 00:30:00,21.4,1
419,2023-07-01 00:31:00,21.4,1
419,2023-07-01 00:32:00,21.4,1
419,2023-07-01 00:33:00,21.4,1
419,2023-07-01 00:34:00,21.4,1
419,2023-07-01 00:35:00,21.4,1
419,2023-07-01 00:36:00,21.4,1
419,2023-07-01 00:37:00,21.31,1
419,2023-07-01 00:38:00,21.2,1
419,2023-07-01 00:39:00,21.2,1
419,2023-07-01 00:40:00,21.2,1
419,2023-07-01 00:41:00,21.2,1
419,2023-07-01 00:42:00,21.2,156272
419,2023-07-01 00:43:00,21.2,1
419,2023-07-01 00:44:00,21.2,1
419,2023-07-01 00:45:00,21.2,1
419,2023-07-01 00:46:00,21.2,1
419,2023-07-01 00:47:00,21.2,1
419,2023-07-01 00:48:00,21.16,1
419,2023-07-01 00:49:00,21.1,1
419,2023-07-01 00:50:00,21.1,1
419,2023-07-01 00:51:00,21.11,1
419,2023-07-01 00:52:00,21.19,1
419,2023-07-01 00:53:00,21.2,1
419,2023-07-01 00:54:00,21.11,1
419,2023-07-01 00:55:00,21.16,1
419,2023-07-01 00:56:00,21.17,1
419,2023-07-01 00:57:00,21.19,1
419,2023-07-01 00:58:00,21.2,1
419,2023-07-01 00:59:00,21.2,1
419,2023-07-01 01:00:00,21.2,1
419,2023-07-01 01:01:00,21.2,1
419,2023-07-01 01:02:00,21.2,1
