,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-04-01 17:00:00,12,9.0,1.0,17.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,291.286,1.0,95.6133,1.0,638.458,3.1,0.0,1.0,47.6553,1.0,16.431,1.0,0.121321,1.0
2018-04-01 18:00:00,12,11.0,1.0,15.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,287.395,1.0,96.3658,1.0,638.695,3.1,0.0,1.0,52.9664,1.0,17.6507,1.0,0.394337,1.0
2018-04-01 19:00:00,12,20.0,1.0,32.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,312.766,1.0,93.671,1.0,639.112,3.1,0.0,1.0,0.234167,1.0,18.4584,1.0,0.826472,1.0
2018-04-01 20:00:00,12,9.0,1.0,21.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,354.665,1.0,90.0625,1.0,639.667,3.1,0.0,1.0,0.0,1.0,18.6667,1.0,0.361228,1.0
2018-04-01 21:00:00,12,15.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.75913,1.0,86.1935,1.0,640.252,3.1,0.0,1.0,0.0,1.0,19.0206,1.0,0.890423,1.0
2018-04-01 22:00:00,12,18.0,1.0,24.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.6059,1.0,82.6266,1.0,640.851,3.1,0.0,1.0,0.0,1.0,19.0417,1.0,0.695617,1.0
2018-04-01 23:00:00,12,18.0,1.0,25.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.33082,1.0,83.7485,1.0,641.085,3.1,0.0,1.0,0.0,1.0,18.6186,1.0,0.591879,1.0
2018-04-02 00:00:00,12,13.0,1.0,17.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.8325,1.0,86.0773,1.0,640.899,3.1,0.0,1.0,0.0,1.0,18.3304,1.0,0.644497,1.0
2018-04-02 01:00:00,12,17.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.652187,1.0,85.6172,1.0,640.38,3.1,0.0,1.0,0.0,1.0,18.3418,1.0,0.823505,1.0
2018-04-02 02:00:00,12,18.0,1.0,33.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.1591,1.0,86.3313,1.0,639.791,3.1,0.0,1.0,0.0,1.0,18.2191,1.0,0.640419,1.0
2018-04-02 03:00:00,12,23.0,1.0,24.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.36517,1.0,84.6207,1.0,639.381,3.1,0.0,1.0,0.0,1.0,18.3274,1.0,1.05036,1.0
2018-04-02 04:00:00,12,26.0,1.0,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.17885,1.0,83.9609,1.0,639.166,3.1,0.0,1.0,0.0,1.0,18.4185,1.0,0.718741,1.0
2018-04-02 05:00:00,12,25.0,1.0,40.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,354.712,1.0,84.2603,1.0,639.277,3.1,0.0,1.0,0.0,1.0,18.4528,1.0,0.565434,1.0
2018-04-02 06:00:00,12,39.0,1.0,54.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.2907,1.0,85.3669,1.0,639.353,3.1,0.0,1.0,0.0,1.0,18.2982,1.0,0.736748,1.0
