,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-01-01 00:00:00,12,-9999.0,4.31,34.0,1.0,-9999.0,1.0,3.64529,1.0,23.1951,1.0,26.8404,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.5257,1.0,75.6681,1.0,642.022,3.1,0.0,1.0,0.0,1.0,19.0355,1.0,0.765967,1.0
2018-01-01 01:00:00,12,-9999.0,4.31,82.0,1.0,-9999.0,1.0,3.91634,1.0,23.5867,1.0,27.503,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.2597,1.0,78.3762,1.0,641.627,3.1,0.0,1.0,0.0,1.0,18.3543,1.0,-9999.0,4.31
2018-01-01 02:00:00,12,-9999.0,4.31,57.0,1.0,-9999.0,1.0,3.67796,1.0,22.6442,1.0,26.3221,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.5914,1.0,80.3956,1.0,641.221,3.1,0.0,1.0,0.0,1.0,17.7894,1.0,0.82888,1.0
2018-01-01 03:00:00,12,-9999.0,4.31,88.0,1.0,-9999.0,1.0,18.3494,1.0,24.8179,1.0,43.1673,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.110959,1.0,79.4962,1.0,641.007,3.1,0.0,1.0,0.0,1.0,17.6924,1.0,0.767457,1.0
2018-01-01 04:00:00,12,-9999.0,4.31,77.0,1.0,-9999.0,1.0,18.2271,1.0,23.0259,1.0,41.2529,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.304,1.0,79.1221,1.0,640.718,3.1,0.0,1.0,0.0,1.0,17.412,1.0,0.646618,1.0
2018-01-01 05:00:00,12,98.0,2.1,102.0,2.1,-9999.0,1.0,53.0533,2.3,22.1746,1.0,75.2278,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,346.729,1.0,79.1046,1.0,640.852,3.1,0.0,1.0,0.0,1.0,17.2381,1.0,1.06846,1.0
2018-01-01 06:00:00,12,77.0,2.1,84.0,1.0,-9999.0,1.0,48.7926,1.0,21.4393,1.0,70.2318,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,329.406,1.0,76.1628,1.0,641.282,3.1,0.0,1.0,0.0,1.0,17.2076,1.0,1.44625,1.0
2018-01-01 07:00:00,12,68.0,1.0,78.0,1.0,-9999.0,1.0,64.4099,1.0,22.7701,1.0,87.1801,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,318.281,1.0,72.7514,1.0,641.669,3.1,0.0,1.0,8.57722,1.0,17.434,1.0,1.43475,1.0
2018-01-01 08:00:00,12,62.0,1.0,74.0,1.0,-9999.0,1.0,47.9499,1.0,30.9001,1.0,78.85,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.995,1.0,68.0826,1.0,642.201,3.1,0.0,1.0,154.66,1.0,18.6104,1.0,1.13029,1.0
2018-01-01 09:00:00,12,66.0,1.0,70.0,1.0,-9999.0,1.0,9.84007,2.1,30.5658,1.0,40.4059,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,124.966,1.0,62.4813,1.0,642.446,3.1,0.0,1.0,357.046,1.0,20.1251,1.0,0.241396,1.0
