,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-02-01 00:00:00,12,42.0,2.6,41.0,2.6,-9999.0,1.0,2.39736,1.0,26.806,1.0,28.9037,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.6083,1.0,77.8677,1.0,639.415,3.1,0.0,1.0,0.0,1.0,20.6608,1.0,0.851681,1.0
2018-02-01 01:00:00,12,34.0,1.0,41.0,1.0,-9999.0,1.0,0.510995,1.0,24.4408,1.0,24.9518,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.6732,1.0,77.1205,1.0,639.184,3.1,0.0,1.0,0.0,1.0,20.5972,1.0,0.583209,1.0
2018-02-01 02:00:00,12,31.0,1.0,39.0,1.0,-9999.0,1.0,0.0,1.0,22.8857,2.6,21.6028,2.6,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.7828,1.0,77.0351,1.0,638.745,3.1,0.0,1.0,0.0,1.0,20.3252,1.0,0.610984,1.0
2018-02-01 03:00:00,12,41.0,2.6,39.0,2.6,-9999.0,1.0,0.0,1.0,23.2476,2.6,23.069,2.6,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.3323,1.0,78.0048,1.0,638.618,3.1,0.0,1.0,0.0,1.0,20.0399,1.0,0.863541,1.0
2018-02-01 04:00:00,12,39.0,2.6,36.0,2.6,-9999.0,1.0,1.63238,1.0,24.6374,1.0,26.2698,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.7481,1.0,76.1848,1.0,638.427,3.1,0.0,1.0,0.0,1.0,19.9933,1.0,0.725779,1.0
2018-02-01 05:00:00,12,36.0,1.0,45.0,1.0,-9999.0,1.0,5.95885,1.0,28.1521,1.0,34.111,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,326.205,1.0,74.6423,1.0,638.597,3.1,0.0,1.0,0.0,1.0,19.9511,1.0,0.567482,1.0
2018-02-01 06:00:00,12,46.0,1.0,61.0,1.0,-9999.0,1.0,41.8219,1.0,32.0164,1.0,72.9994,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,15.5243,1.0,73.7831,1.0,638.573,3.1,0.0,1.0,0.0,1.0,19.9309,1.0,0.877644,1.0
2018-02-01 07:00:00,12,48.0,1.0,65.0,1.0,-9999.0,1.0,65.5389,1.0,35.0091,1.0,100.548,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.2008,1.0,73.6332,1.0,639.041,3.1,0.0,1.0,22.5311,1.0,19.8423,1.0,0.353204,1.0
2018-02-01 08:00:00,12,64.0,1.0,91.0,1.0,-9999.0,1.0,88.1183,1.0,39.4359,1.0,127.554,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,317.117,1.0,70.7712,1.0,640.035,3.1,0.0,1.0,48.6169,1.0,20.3902,1.0,0.383579,1.0
2018-02-01 09:00:00,12,62.0,1.0,97.0,1.0,-9999.0,1.0,103.2,1.0,46.9368,1.0,150.137,2.2,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,11.0958,1.0,67.2005,1.0,640.066,3.1,0.0,1.0,139.869,1.0,21.1579,1.0,0.616788,1.0
2018-02-01 10:00:00,12,46.0,1.0,84.0,1.0,-9999.0,1.0,52.0341,1.0,41.9505,1.0,93.9847,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.8223,1.0,60.5812,1.0,640.032,3.1,0.0,1.0,235.051,1.0,22.2964,1.0,0.809999,1.0
2018-02-01 11:00:00,12,40.0,1.0,82.0,1.0,-9999.0,1.0,30.9692,1.0,35.2301,1.0,66.1993,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,19.198,1.0,50.2514,1.0,639.807,3.1,0.0,1.0,522.926,1.0,24.4266,1.0,1.35759,1.0
2018-02-01 12:00:00,12,45.0,1.0,86.0,1.0,-9999.0,1.0,39.861,1.0,40.3071,1.0,81.7625,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.5221,1.0,46.8197,1.0,639.376,3.1,0.0,1.0,458.367,1.0,25.316,1.0,1.09864,1.0
2018-02-01 13:00:00,12,55.0,1.0,68.0,1.0,-9999.0,1.0,31.4731,1.0,38.3082,1.0,68.9303,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,15.6206,1.0,43.5773,1.0,638.806,3.1,0.0,1.0,462.514,1.0,25.951,1.0,1.35006,1.0
2018-02-01 14:00:00,12,60.0,2.6,58.0,2.6,-9999.0,1.0,30.6162,1.0,42.8988,1.0,72.181,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,17.3886,1.0,38.6241,1.0,638.216,3.1,0.0,1.0,435.989,1.0,27.1233,1.0,0.898727,1.0
2018-02-01 15:00:00,12,54.0,1.0,63.0,1.0,-9999.0,1.0,30.1985,1.0,38.794,1.0,66.8088,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.3572,1.0,36.7542,1.0,637.541,3.1,0.0,1.0,477.063,1.0,27.4729,1.0,1.14569,1.0
2018-02-01 16:00:00,12,48.0,1.0,60.0,1.0,-9999.0,1.0,29.5674,1.0,40.4345,1.0,69.1084,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.1473,1.0,34.7673,1.0,636.951,3.1,0.0,1.0,522.384,1.0,28.2017,1.0,1.39867,1.0
2018-02-01 17:00:00,12,-9999.0,4.31,84.0,1.0,-9999.0,1.0,37.022,1.0,41.0451,1.0,78.0672,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,15.3617,1.0,35.7424,1.0,636.742,3.1,0.0,1.0,308.096,1.0,28.1189,1.0,0.394928,1.0
2018-02-01 18:00:00,12,46.0,1.0,79.0,1.0,-9999.0,1.0,38.9921,1.0,43.8653,1.0,81.4483,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.23374,1.0,45.0259,1.0,637.07,3.1,0.0,1.0,93.2036,1.0,26.544,1.0,0.683308,1.0
2018-02-01 19:00:00,12,51.0,1.0,80.0,1.0,-9999.0,1.0,55.6036,1.0,46.2373,1.0,99.2693,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.7616,1.0,52.6441,1.0,637.644,3.1,0.0,1.0,0.0677777,1.0,24.7418,1.0,1.24345,1.0
2018-02-01 20:00:00,12,38.0,1.0,56.0,1.0,-9999.0,1.0,37.0664,1.0,37.8875,1.0,74.4686,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.6471,1.0,58.1715,1.0,638.527,3.1,0.0,1.0,0.0,1.0,23.6696,1.0,1.22068,1.0
2018-02-01 21:00:00,12,32.0,1.0,56.0,1.0,-9999.0,1.0,32.4692,1.0,35.1276,1.0,67.5968,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.6834,1.0,63.5782,1.0,639.173,3.1,0.0,1.0,0.0,1.0,22.7831,1.0,0.958531,1.0
2018-02-01 22:00:00,12,29.0,1.0,50.0,1.0,-9999.0,1.0,26.8374,1.0,33.3368,1.0,59.7038,1.0,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.8105,1.0,70.1767,1.0,639.64,3.1,0.0,1.0,0.0,1.0,22.1041,1.0,1.06419,1.0
